Asparagus,Beans,Broccoli,Corn,Green Peppers,Squash,Tomatoes
0        ,0    ,1       ,1   ,1            ,0     ,0
1        ,0    ,0       ,1   ,0            ,1     ,0
0        ,1    ,0       ,1   ,0            ,1     ,1
0        ,1    ,0       ,1   ,1            ,0     ,1
1        ,1    ,1       ,0   ,0            ,0     ,0
1        ,1    ,0       ,0   ,0            ,1     ,1
0        ,0    ,0       ,1   ,0            ,0     ,1
0        ,0    ,1       ,0   ,1            ,0     ,1
1        ,1    ,0       ,0   ,0            ,1     ,0
0        ,1    ,0       ,1   ,0            ,0     ,0
0        ,1    ,1       ,0   ,1            ,1     ,0
1        ,1    ,0       ,0   ,0            ,1     ,0
1        ,1    ,0       ,1   ,0            ,1     ,0
0        ,1    ,1       ,1   ,1            ,0     ,1